vendor_canonical,unit_id,error_code_raw,days_with_code,first_seen,last_seen
B,TH-02226,6021,25,2026-06-01,2026-07-29
B,TH-02143,6021,25,2026-06-04,2026-07-29
B,TH-02256,6021,25,2026-06-01,2026-07-29
B,TH-02234,6021,25,2026-06-01,2026-07-30
B,TH-02173,6021,25,2026-06-03,2026-07-30
B,TH-02288,6021,25,2026-06-03,2026-07-27
B,TH-02144,6021,25,2026-06-01,2026-07-27
B,TH-02260,6021,24,2026-06-01,2026-07-29
B,TH-02196,6021,24,2026-06-05,2026-07-26
B,TH-02165,6021,24,2026-06-02,2026-07-28
B,TH-02228,6021,24,2026-06-01,2026-07-29
B,TH-02204,6021,24,2026-06-01,2026-07-28
B,TH-02189,6021,24,2026-06-02,2026-07-29
B,TH-02149,6021,24,2026-06-02,2026-07-28
B,TH-02176,6021,24,2026-06-01,2026-07-28
B,TH-02190,6021,24,2026-06-01,2026-07-30
B,TH-02148,6021,24,2026-06-04,2026-07-29
B,TH-02224,6021,23,2026-06-01,2026-07-30
B,TH-02152,6021,23,2026-06-04,2026-07-29
B,TH-02246,6021,23,2026-06-08,2026-07-29
B,TH-02216,6021,23,2026-06-01,2026-07-28
B,TH-02153,6021,23,2026-06-01,2026-07-30
B,TH-02145,6021,23,2026-06-01,2026-07-29
B,TH-02245,6021,23,2026-06-03,2026-07-30
B,TH-02265,6021,23,2026-06-04,2026-07-30
B,TH-02215,6021,22,2026-06-04,2026-07-24
B,TH-02268,6021,22,2026-06-04,2026-07-30
B,TH-02207,6021,22,2026-06-03,2026-07-29
B,TH-02250,6021,22,2026-06-04,2026-07-30
B,TH-02177,6021,22,2026-06-02,2026-07-30
B,TH-02281,6021,22,2026-06-02,2026-07-28
B,TH-02180,6021,21,2026-06-03,2026-07-30
B,TH-02236,6021,21,2026-06-08,2026-07-24
B,TH-02235,6021,21,2026-06-02,2026-07-30
B,TH-02194,6021,21,2026-06-02,2026-07-29
B,TH-02160,6021,21,2026-06-02,2026-07-27
B,TH-02266,6021,20,2026-06-12,2026-07-26
B,TH-02195,6021,20,2026-06-04,2026-07-30
B,TH-02182,6021,20,2026-06-04,2026-07-25
B,TH-02187,6021,19,2026-06-02,2026-07-30
B,TH-02221,6021,19,2026-06-03,2026-07-29
B,TH-02259,6021,19,2026-06-04,2026-07-29
B,TH-02257,6021,19,2026-06-03,2026-07-29
B,TH-02290,6021,19,2026-06-01,2026-07-24
B,TH-02213,6021,19,2026-06-02,2026-07-28
B,TH-02161,6021,18,2026-06-01,2026-07-25
B,TH-02271,6021,18,2026-06-05,2026-07-30
A,TH-02073,E-211,18,2026-07-04,2026-07-29
B,TH-02170,6021,17,2026-06-01,2026-07-24
B,TH-02244,6021,17,2026-06-03,2026-07-30
A,TH-02006,E-211,17,2026-06-27,2026-07-29
A,TH-02038,E-211,16,2026-07-04,2026-07-30
B,TH-02202,6021,16,2026-06-05,2026-07-28
A,TH-02091,E-211,16,2026-07-04,2026-07-30
B,TH-02290,3104,15,2026-06-10,2026-07-30
C,TH-02298,ALM_HP_LOWFLOW,14,2026-07-17,2026-07-30
C,TH-02395,ALM_HP_LOWFLOW,14,2026-07-17,2026-07-30
C,TH-02398,ALM_HP_LOWFLOW,14,2026-07-17,2026-07-30
C,TH-02312,ALM_HP_LOWFLOW,14,2026-07-17,2026-07-30
A,TH-02132,E-211,14,2026-07-07,2026-07-30
A,TH-02007,E-211,13,2026-07-05,2026-07-26
B,TH-02221,3104,13,2026-07-06,2026-07-30
B,TH-02195,3104,13,2026-07-03,2026-07-29
B,TH-02182,3104,10,2026-07-01,2026-07-26
B,TH-02265,3104,7,2026-07-07,2026-07-29
C,TH-02377,ALM_HP_HP_SWITCH,4,2026-06-03,2026-07-08
A,TH-02103,E-104,3,2026-07-04,2026-07-15
B,TH-02271,3104,3,2026-07-13,2026-07-23
B,TH-02286,7702,3,2026-07-04,2026-07-14
B,TH-02266,3104,3,2026-06-11,2026-07-29
C,TH-02331,ALM_SM_LINK,3,2026-07-15,2026-07-27
A,TH-02055,E-505,3,2026-06-16,2026-07-20
C,TH-02358,ALM_HP_HP_SWITCH,3,2026-07-09,2026-07-26
B,TH-02171,3104,3,2026-06-03,2026-07-29
C,TH-02363,ALM_SM_LINK,3,2026-06-13,2026-07-01
B,TH-02169,1188,3,2026-06-08,2026-07-01
B,TH-02257,7702,3,2026-06-07,2026-07-30
A,TH-02076,E-104,3,2026-06-08,2026-07-09
C,TH-02317,ALM_SM_LINK,3,2026-06-06,2026-07-04
B,TH-02260,7702,2,2026-06-29,2026-07-17
A,TH-02004,E-104,2,2026-06-06,2026-07-26
A,TH-02009,E-505,2,2026-06-07,2026-07-17
A,TH-02137,E-104,2,2026-06-18,2026-06-29
A,TH-02006,E-505,2,2026-06-23,2026-06-26
C,TH-02399,ALM_HP_HP_SWITCH,2,2026-06-11,2026-06-27
B,TH-02258,3104,2,2026-06-30,2026-07-06
A,TH-02002,E-505,2,2026-06-21,2026-07-18
A,TH-02138,E-317,2,2026-06-26,2026-07-23
B,TH-02160,7702,2,2026-07-21,2026-07-24
A,TH-02009,E-211,2,2026-06-18,2026-07-22
A,TH-02139,E-104,2,2026-07-02,2026-07-19
A,TH-02140,E-104,2,2026-06-19,2026-07-26
A,TH-02012,E-317,2,2026-06-25,2026-07-17
B,TH-02177,3104,2,2026-06-26,2026-07-11
B,TH-02158,3104,2,2026-06-04,2026-07-10
A,TH-02008,E-104,2,2026-06-11,2026-07-17
B,TH-02257,3104,2,2026-06-13,2026-07-18
B,TH-02148,3104,2,2026-06-01,2026-06-02
B,TH-02268,3104,2,2026-06-18,2026-07-14
B,TH-02146,3104,2,2026-07-05,2026-07-15
C,TH-02388,ALM_SM_LINK,2,2026-06-02,2026-07-10
C,TH-02355,ALM_SM_LINK,2,2026-06-29,2026-07-04
A,TH-02132,E-505,2,2026-06-01,2026-07-02
C,TH-02319,ALM_SM_LINK,2,2026-06-02,2026-07-15
A,TH-02081,E-505,2,2026-06-07,2026-07-30
B,TH-02251,1188,2,2026-06-23,2026-07-12
C,TH-02303,ALM_SM_LINK,2,2026-07-08,2026-07-14
A,TH-02080,E-317,2,2026-06-04,2026-07-14
A,TH-02080,E-104,2,2026-06-07,2026-07-01
C,TH-02304,ALM_SM_LINK,2,2026-06-30,2026-07-01
B,TH-02247,1188,2,2026-07-07,2026-07-14
C,TH-02309,ALM_HP_HP_SWITCH,2,2026-06-03,2026-06-13
C,TH-02309,ALM_SM_LINK,2,2026-06-07,2026-06-17
A,TH-02075,E-211,2,2026-07-25,2026-07-27
B,TH-02246,1188,2,2026-07-14,2026-07-21
A,TH-02068,E-505,2,2026-06-30,2026-07-05
B,TH-02202,1188,2,2026-06-14,2026-07-07
C,TH-02299,ALM_SM_LINK,2,2026-06-25,2026-07-22
A,TH-02065,E-211,2,2026-07-09,2026-07-19
B,TH-02244,7702,2,2026-06-25,2026-07-11
A,TH-02062,E-104,2,2026-06-10,2026-07-05
C,TH-02334,ALM_HP_HP_SWITCH,2,2026-06-02,2026-07-18
A,TH-02056,E-505,2,2026-06-30,2026-07-12
C,TH-02335,ALM_HP_HP_SWITCH,2,2026-06-10,2026-06-27
A,TH-02056,E-104,2,2026-06-06,2026-07-22
A,TH-02055,E-211,2,2026-06-27,2026-07-19
A,TH-02054,E-211,2,2026-07-09,2026-07-27
C,TH-02336,ALM_SM_LINK,2,2026-06-29,2026-07-09
A,TH-02044,E-505,2,2026-06-10,2026-07-05
C,TH-02357,ALM_HP_HP_SWITCH,2,2026-07-10,2026-07-27
A,TH-02084,E-211,2,2026-06-15,2026-07-17
A,TH-02081,E-317,2,2026-07-03,2026-07-06
A,TH-02086,E-317,2,2026-07-23,2026-07-29
A,TH-02111,E-211,2,2026-07-04,2026-07-12
B,TH-02278,3104,2,2026-06-16,2026-07-30
A,TH-02124,E-505,2,2026-07-02,2026-07-15
A,TH-02124,E-211,2,2026-06-18,2026-07-22
A,TH-02122,E-104,2,2026-06-05,2026-07-23
B,TH-02280,3104,2,2026-06-24,2026-07-08
B,TH-02223,7702,2,2026-06-19,2026-07-01
B,TH-02283,7702,2,2026-07-27,2026-07-30
A,TH-02113,E-505,2,2026-06-16,2026-06-25
B,TH-02250,7702,2,2026-07-09,2026-07-28
A,TH-02087,E-317,2,2026-06-19,2026-07-13
A,TH-02021,E-317,2,2026-07-13,2026-07-19
A,TH-02037,E-317,2,2026-06-01,2026-06-15
A,TH-02111,E-317,2,2026-06-21,2026-06-25
A,TH-02103,E-505,2,2026-06-19,2026-07-08
B,TH-02287,7702,2,2026-06-12,2026-07-05
B,TH-02249,3104,2,2026-06-12,2026-07-14
C,TH-02294,ALM_HP_HP_SWITCH,2,2026-06-03,2026-07-15
A,TH-02093,E-211,2,2026-06-22,2026-07-14
A,TH-02031,E-317,2,2026-06-09,2026-07-21
A,TH-02090,E-505,2,2026-06-14,2026-07-18
B,TH-02243,3104,1,2026-07-11,2026-07-11
B,TH-02240,1188,1,2026-06-05,2026-06-05
B,TH-02236,1188,1,2026-07-25,2026-07-25
B,TH-02239,7702,1,2026-06-19,2026-06-19
B,TH-02242,7702,1,2026-07-01,2026-07-01
B,TH-02235,3104,1,2026-07-07,2026-07-07
B,TH-02247,3104,1,2026-06-08,2026-06-08
B,TH-02243,7702,1,2026-07-29,2026-07-29
B,TH-02249,7702,1,2026-07-10,2026-07-10
B,TH-02234,7702,1,2026-06-19,2026-06-19
B,TH-02239,3104,1,2026-06-27,2026-06-27
B,TH-02248,7702,1,2026-06-02,2026-06-02
B,TH-02245,1188,1,2026-06-21,2026-06-21
A,TH-02001,E-317,1,2026-06-20,2026-06-20
B,TH-02259,3104,1,2026-06-03,2026-06-03
C,TH-02339,ALM_HP_HP_SWITCH,1,2026-06-02,2026-06-02
C,TH-02354,ALM_HP_HP_SWITCH,1,2026-07-28,2026-07-28
C,TH-02345,ALM_SM_LINK,1,2026-06-08,2026-06-08
C,TH-02345,ALM_HP_HP_SWITCH,1,2026-07-15,2026-07-15
C,TH-02344,ALM_SM_LINK,1,2026-07-04,2026-07-04
C,TH-02343,ALM_SM_LINK,1,2026-07-29,2026-07-29
C,TH-02342,ALM_SM_LINK,1,2026-07-20,2026-07-20
C,TH-02341,ALM_SM_LINK,1,2026-07-20,2026-07-20
C,TH-02338,ALM_SM_LINK,1,2026-06-01,2026-06-01
C,TH-02322,ALM_HP_HP_SWITCH,1,2026-07-06,2026-07-06
C,TH-02337,ALM_HP_HP_SWITCH,1,2026-07-16,2026-07-16
C,TH-02336,ALM_HP_HP_SWITCH,1,2026-06-13,2026-06-13
C,TH-02335,ALM_SM_LINK,1,2026-07-22,2026-07-22
C,TH-02334,ALM_SM_LINK,1,2026-07-20,2026-07-20
C,TH-02333,ALM_SM_LINK,1,2026-07-20,2026-07-20
C,TH-02333,ALM_HP_HP_SWITCH,1,2026-07-03,2026-07-03
C,TH-02324,ALM_HP_HP_SWITCH,1,2026-07-18,2026-07-18
C,TH-02355,ALM_HP_HP_SWITCH,1,2026-06-30,2026-06-30
C,TH-02360,ALM_HP_HP_SWITCH,1,2026-07-15,2026-07-15
C,TH-02360,ALM_SM_LINK,1,2026-06-04,2026-06-04
C,TH-02361,ALM_SM_LINK,1,2026-07-14,2026-07-14
C,TH-02399,ALM_SM_LINK,1,2026-07-09,2026-07-09
C,TH-02398,ALM_SM_LINK,1,2026-07-08,2026-07-08
C,TH-02396,ALM_SM_LINK,1,2026-07-07,2026-07-07
C,TH-02393,ALM_SM_LINK,1,2026-06-26,2026-06-26
C,TH-02393,ALM_HP_HP_SWITCH,1,2026-07-25,2026-07-25
C,TH-02388,ALM_HP_HP_SWITCH,1,2026-06-10,2026-06-10
C,TH-02385,ALM_SM_LINK,1,2026-07-03,2026-07-03
C,TH-02381,ALM_SM_LINK,1,2026-07-10,2026-07-10
C,TH-02381,ALM_HP_HP_SWITCH,1,2026-07-24,2026-07-24
C,TH-02374,ALM_HP_HP_SWITCH,1,2026-07-12,2026-07-12
C,TH-02371,ALM_SM_LINK,1,2026-06-03,2026-06-03
C,TH-02371,ALM_HP_HP_SWITCH,1,2026-06-15,2026-06-15
C,TH-02367,ALM_SM_LINK,1,2026-07-12,2026-07-12
C,TH-02367,ALM_HP_HP_SWITCH,1,2026-06-02,2026-06-02
C,TH-02365,ALM_SM_LINK,1,2026-07-08,2026-07-08
C,TH-02323,ALM_SM_LINK,1,2026-07-13,2026-07-13
C,TH-02317,ALM_HP_HP_SWITCH,1,2026-07-22,2026-07-22
B,TH-02259,7702,1,2026-07-27,2026-07-27
B,TH-02270,7702,1,2026-07-01,2026-07-01
B,TH-02285,1188,1,2026-07-25,2026-07-25
B,TH-02283,1188,1,2026-06-14,2026-06-14
B,TH-02281,7702,1,2026-07-12,2026-07-12
B,TH-02279,7702,1,2026-07-08,2026-07-08
B,TH-02277,7702,1,2026-06-19,2026-06-19
B,TH-02277,1188,1,2026-07-06,2026-07-06
B,TH-02275,3104,1,2026-06-12,2026-06-12
B,TH-02270,1188,1,2026-06-21,2026-06-21
C,TH-02316,ALM_SM_LINK,1,2026-06-09,2026-06-09
B,TH-02269,7702,1,2026-07-30,2026-07-30
B,TH-02268,7702,1,2026-07-28,2026-07-28
B,TH-02268,1188,1,2026-07-20,2026-07-20
B,TH-02265,7702,1,2026-06-05,2026-06-05
B,TH-02265,1188,1,2026-06-29,2026-06-29
B,TH-02262,1188,1,2026-07-07,2026-07-07
B,TH-02260,3104,1,2026-07-11,2026-07-11
B,TH-02285,3104,1,2026-07-01,2026-07-01
B,TH-02285,7702,1,2026-06-24,2026-06-24
B,TH-02286,1188,1,2026-07-02,2026-07-02
B,TH-02286,3104,1,2026-07-27,2026-07-27
C,TH-02316,ALM_HP_HP_SWITCH,1,2026-07-16,2026-07-16
C,TH-02313,ALM_HP_HP_SWITCH,1,2026-06-11,2026-06-11
C,TH-02312,ALM_HP_HP_SWITCH,1,2026-06-25,2026-06-25
C,TH-02311,ALM_HP_HP_SWITCH,1,2026-07-09,2026-07-09
C,TH-02307,ALM_SM_LINK,1,2026-07-27,2026-07-27
C,TH-02307,ALM_HP_HP_SWITCH,1,2026-06-25,2026-06-25
C,TH-02303,ALM_HP_HP_SWITCH,1,2026-07-09,2026-07-09
C,TH-02300,ALM_SM_LINK,1,2026-07-03,2026-07-03
C,TH-02300,ALM_HP_HP_SWITCH,1,2026-06-07,2026-06-07
C,TH-02298,ALM_SM_LINK,1,2026-06-27,2026-06-27
C,TH-02296,ALM_SM_LINK,1,2026-07-26,2026-07-26
C,TH-02294,ALM_SM_LINK,1,2026-06-05,2026-06-05
C,TH-02292,ALM_HP_HP_SWITCH,1,2026-07-27,2026-07-27
B,TH-02288,3104,1,2026-07-29,2026-07-29
B,TH-02288,1188,1,2026-06-02,2026-06-02
B,TH-02278,1188,1,2026-07-10,2026-07-10
B,TH-02187,1188,1,2026-07-17,2026-07-17
B,TH-02230,7702,1,2026-07-08,2026-07-08
A,TH-02061,E-317,1,2026-06-15,2026-06-15
A,TH-02078,E-211,1,2026-07-15,2026-07-15
A,TH-02077,E-505,1,2026-07-22,2026-07-22
A,TH-02076,E-317,1,2026-07-05,2026-07-05
A,TH-02075,E-505,1,2026-07-30,2026-07-30
A,TH-02075,E-317,1,2026-07-17,2026-07-17
A,TH-02075,E-104,1,2026-06-09,2026-06-09
A,TH-02073,E-505,1,2026-06-09,2026-06-09
A,TH-02072,E-505,1,2026-06-04,2026-06-04
A,TH-02072,E-317,1,2026-06-09,2026-06-09
A,TH-02072,E-211,1,2026-06-02,2026-06-02
A,TH-02071,E-317,1,2026-06-23,2026-06-23
A,TH-02071,E-211,1,2026-07-09,2026-07-09
A,TH-02071,E-104,1,2026-07-13,2026-07-13
A,TH-02068,E-211,1,2026-06-28,2026-06-28
A,TH-02068,E-104,1,2026-06-12,2026-06-12
A,TH-02065,E-505,1,2026-07-27,2026-07-27
A,TH-02063,E-317,1,2026-06-12,2026-06-12
A,TH-02063,E-211,1,2026-06-01,2026-06-01
A,TH-02062,E-317,1,2026-06-21,2026-06-21
A,TH-02081,E-104,1,2026-07-14,2026-07-14
A,TH-02081,E-211,1,2026-07-11,2026-07-11
A,TH-02083,E-317,1,2026-07-29,2026-07-29
A,TH-02098,E-317,1,2026-06-29,2026-06-29
A,TH-02103,E-211,1,2026-07-03,2026-07-03
A,TH-02101,E-505,1,2026-07-08,2026-07-08
A,TH-02101,E-317,1,2026-06-10,2026-06-10
A,TH-02101,E-104,1,2026-07-02,2026-07-02
A,TH-02100,E-317,1,2026-07-26,2026-07-26
A,TH-02099,E-505,1,2026-06-30,2026-06-30
A,TH-02099,E-211,1,2026-06-16,2026-06-16
A,TH-02099,E-104,1,2026-06-14,2026-06-14
A,TH-02098,E-211,1,2026-06-30,2026-06-30
A,TH-02083,E-505,1,2026-07-30,2026-07-30
A,TH-02097,E-317,1,2026-06-29,2026-06-29
A,TH-02094,E-317,1,2026-06-11,2026-06-11
A,TH-02094,E-211,1,2026-07-07,2026-07-07
A,TH-02094,E-104,1,2026-07-14,2026-07-14
A,TH-02091,E-317,1,2026-06-30,2026-06-30
A,TH-02090,E-104,1,2026-06-27,2026-06-27
A,TH-02087,E-505,1,2026-06-06,2026-06-06
A,TH-02084,E-317,1,2026-06-16,2026-06-16
A,TH-02062,E-211,1,2026-06-12,2026-06-12
A,TH-02061,E-211,1,2026-06-22,2026-06-22
A,TH-02111,E-505,1,2026-06-05,2026-06-05
A,TH-02056,E-317,1,2026-07-19,2026-07-19
A,TH-02030,E-104,1,2026-07-20,2026-07-20
A,TH-02025,E-317,1,2026-06-08,2026-06-08
A,TH-02025,E-104,1,2026-06-21,2026-06-21
A,TH-02023,E-211,1,2026-06-01,2026-06-01
A,TH-02021,E-104,1,2026-06-09,2026-06-09
A,TH-02020,E-104,1,2026-07-23,2026-07-23
A,TH-02017,E-104,1,2026-06-14,2026-06-14
A,TH-02016,E-211,1,2026-06-08,2026-06-08
A,TH-02015,E-505,1,2026-06-20,2026-06-20
A,TH-02015,E-317,1,2026-07-07,2026-07-07
A,TH-02015,E-211,1,2026-07-21,2026-07-21
A,TH-02012,E-505,1,2026-06-09,2026-06-09
A,TH-02012,E-104,1,2026-07-14,2026-07-14
A,TH-02011,E-317,1,2026-06-21,2026-06-21
A,TH-02009,E-104,1,2026-07-27,2026-07-27
A,TH-02008,E-211,1,2026-06-13,2026-06-13
A,TH-02007,E-317,1,2026-06-18,2026-06-18
A,TH-02002,E-317,1,2026-06-11,2026-06-11
A,TH-02002,E-211,1,2026-07-21,2026-07-21
A,TH-02031,E-104,1,2026-07-19,2026-07-19
A,TH-02032,E-104,1,2026-06-02,2026-06-02
A,TH-02032,E-317,1,2026-06-16,2026-06-16
A,TH-02046,E-505,1,2026-06-07,2026-06-07
A,TH-02055,E-317,1,2026-06-13,2026-06-13
A,TH-02053,E-211,1,2026-06-20,2026-06-20
A,TH-02052,E-317,1,2026-07-08,2026-07-08
A,TH-02051,E-505,1,2026-07-09,2026-07-09
A,TH-02048,E-317,1,2026-06-24,2026-06-24
A,TH-02048,E-211,1,2026-06-26,2026-06-26
A,TH-02048,E-104,1,2026-07-13,2026-07-13
A,TH-02047,E-211,1,2026-07-19,2026-07-19
A,TH-02045,E-104,1,2026-07-07,2026-07-07
A,TH-02034,E-211,1,2026-06-27,2026-06-27
A,TH-02040,E-505,1,2026-07-22,2026-07-22
A,TH-02040,E-317,1,2026-06-15,2026-06-15
A,TH-02038,E-317,1,2026-06-17,2026-06-17
A,TH-02038,E-104,1,2026-06-27,2026-06-27
A,TH-02036,E-104,1,2026-07-18,2026-07-18
A,TH-02035,E-317,1,2026-06-17,2026-06-17
A,TH-02035,E-104,1,2026-06-03,2026-06-03
A,TH-02034,E-317,1,2026-06-04,2026-06-04
A,TH-02109,E-104,1,2026-07-17,2026-07-17
A,TH-02112,E-505,1,2026-07-02,2026-07-02
B,TH-02230,3104,1,2026-07-29,2026-07-29
B,TH-02170,1188,1,2026-07-11,2026-07-11
B,TH-02192,7702,1,2026-07-16,2026-07-16
B,TH-02192,1188,1,2026-07-28,2026-07-28
B,TH-02190,3104,1,2026-06-25,2026-06-25
B,TH-02190,1188,1,2026-07-04,2026-07-04
B,TH-02189,1188,1,2026-07-10,2026-07-10
B,TH-02187,7702,1,2026-06-25,2026-06-25
B,TH-02187,3104,1,2026-07-08,2026-07-08
A,TH-02001,E-505,1,2026-07-16,2026-07-16
B,TH-02185,7702,1,2026-06-18,2026-06-18
B,TH-02184,7702,1,2026-07-25,2026-07-25
B,TH-02182,1188,1,2026-07-16,2026-07-16
B,TH-02181,7702,1,2026-06-15,2026-06-15
B,TH-02178,7702,1,2026-07-18,2026-07-18
B,TH-02178,1188,1,2026-06-13,2026-06-13
B,TH-02177,7702,1,2026-06-04,2026-06-04
B,TH-02177,1188,1,2026-07-07,2026-07-07
B,TH-02176,7702,1,2026-06-05,2026-06-05
B,TH-02176,3104,1,2026-07-27,2026-07-27
B,TH-02176,1188,1,2026-07-25,2026-07-25
B,TH-02194,3104,1,2026-06-24,2026-06-24
B,TH-02196,1188,1,2026-06-29,2026-06-29
B,TH-02196,7702,1,2026-06-02,2026-06-02
B,TH-02216,1188,1,2026-06-02,2026-06-02
B,TH-02228,1188,1,2026-07-17,2026-07-17
B,TH-02226,3104,1,2026-06-24,2026-06-24
B,TH-02226,1188,1,2026-07-28,2026-07-28
B,TH-02224,7702,1,2026-06-25,2026-06-25
B,TH-02224,3104,1,2026-07-28,2026-07-28
B,TH-02221,7702,1,2026-06-15,2026-06-15
B,TH-02216,7702,1,2026-07-04,2026-07-04
B,TH-02216,3104,1,2026-07-23,2026-07-23
B,TH-02215,3104,1,2026-07-29,2026-07-29
B,TH-02204,1188,1,2026-06-28,2026-06-28
B,TH-02215,1188,1,2026-07-16,2026-07-16
B,TH-02214,7702,1,2026-06-16,2026-06-16
B,TH-02213,7702,1,2026-07-29,2026-07-29
B,TH-02207,3104,1,2026-06-07,2026-06-07
B,TH-02206,7702,1,2026-06-30,2026-06-30
B,TH-02206,1188,1,2026-06-18,2026-06-18
B,TH-02204,7702,1,2026-06-08,2026-06-08
B,TH-02204,3104,1,2026-06-13,2026-06-13
B,TH-02170,7702,1,2026-07-26,2026-07-26
B,TH-02168,7702,1,2026-07-13,2026-07-13
A,TH-02113,E-104,1,2026-07-27,2026-07-27
B,TH-02168,3104,1,2026-06-05,2026-06-05
A,TH-02136,E-317,1,2026-06-24,2026-06-24
A,TH-02136,E-104,1,2026-07-20,2026-07-20
A,TH-02135,E-211,1,2026-07-26,2026-07-26
A,TH-02135,E-104,1,2026-06-12,2026-06-12
A,TH-02134,E-211,1,2026-07-29,2026-07-29
A,TH-02133,E-211,1,2026-06-26,2026-06-26
A,TH-02132,E-317,1,2026-07-03,2026-07-03
A,TH-02130,E-317,1,2026-07-26,2026-07-26
A,TH-02130,E-211,1,2026-07-20,2026-07-20
A,TH-02127,E-317,1,2026-07-15,2026-07-15
A,TH-02126,E-211,1,2026-06-04,2026-06-04
A,TH-02122,E-317,1,2026-07-07,2026-07-07
A,TH-02121,E-505,1,2026-06-27,2026-06-27
A,TH-02121,E-211,1,2026-06-18,2026-06-18
A,TH-02120,E-505,1,2026-06-08,2026-06-08
A,TH-02120,E-317,1,2026-06-15,2026-06-15
A,TH-02118,E-211,1,2026-07-06,2026-07-06
A,TH-02118,E-104,1,2026-06-20,2026-06-20
A,TH-02114,E-211,1,2026-07-20,2026-07-20
A,TH-02137,E-211,1,2026-07-10,2026-07-10
A,TH-02137,E-505,1,2026-07-19,2026-07-19
A,TH-02140,E-211,1,2026-07-09,2026-07-09
B,TH-02153,3104,1,2026-07-05,2026-07-05
B,TH-02166,7702,1,2026-06-08,2026-06-08
B,TH-02166,3104,1,2026-06-19,2026-06-19
B,TH-02165,3104,1,2026-06-28,2026-06-28
B,TH-02165,1188,1,2026-07-25,2026-07-25
B,TH-02159,7702,1,2026-06-12,2026-06-12
B,TH-02159,1188,1,2026-07-18,2026-07-18
B,TH-02158,7702,1,2026-06-16,2026-06-16
B,TH-02153,7702,1,2026-06-03,2026-06-03
B,TH-02152,7702,1,2026-06-08,2026-06-08
B,TH-02141,3104,1,2026-07-19,2026-07-19
B,TH-02149,3104,1,2026-07-30,2026-07-30
B,TH-02148,7702,1,2026-06-22,2026-06-22
B,TH-02148,1188,1,2026-07-10,2026-07-10
B,TH-02146,1188,1,2026-06-11,2026-06-11
B,TH-02145,3104,1,2026-07-20,2026-07-20
B,TH-02145,1188,1,2026-06-08,2026-06-08
B,TH-02144,7702,1,2026-06-13,2026-06-13
B,TH-02144,3104,1,2026-07-25,2026-07-25
C,TH-02400,ALM_SM_LINK,1,2026-07-30,2026-07-30
